codigo_br,descricao_catmat,preco_unitario,qtd_itens_comprados,fornecedor,fabricante,nome_instituicao,ano_compra,mediana_produto,razao_vs_mediana
333328,"REAGENTE PARA DIAGNÓSTICO CLÍNICO 5, TIPO:CONJUNTO COMPLETO PARA AUTOMAÇÃO, TIPO DE ANÁLISE:QUANTITATIVO DE PROTEÍNA ""C"" REATIVA, MÉTODO:IMUNOTURBIDIMETRIA, APRESENTAÇÃO:TESTE",6000.0,2500,GC LAB DIAGNOSTICOS LTDA,VIDA BIOTECNOLOGIA LTDA,FUNDO MUNICIPAL DE SAUDE,2023,5.395,1112.140871177016
298769,"PAROXETINA CLORIDRATO, DOSAGEM:40 MG",8000.0,180,REALMED DISTRIBUIDORA LTDA,EUROFARMA LABORATORIOS S.A.,MUNICIPIO DE OURO PRETO DO OESTE,2020,7.3,1095.890410958904
444609,"ATADURA, TIPO 1:GESSADA, MATERIAL 1:100% ALGODÃO, DIMENSÕES:10 CM, CARACTERÍSTICAS ADICIONAIS 1:SECAGEM ULTRA RÁPIDA",1946.0,30,BCM ATACADISTA LTDA,MEDI HOUSE INDUSTRIA E COMERCIO DE PRODUTOS CIRURGICOS E HOSPITALARES LTDA,FUNDO MUNICIPAL DE SAUDE,2023,1.79,1087.1508379888269
403131,"BUDESONIDA, CONCENTRAÇÃO:50 MCG/DOSE, FORMA FARMACÊUTICA:SUSPENSÃO AQUOSA NASAL, CARACTERÍSTICA ADICIONAL:FRASCO COM VÁLVULA DOSIFICADORA",23980.0,40000,ATIVA COMERCIAL HOSPITALAR LTDA,EUROFARMA LABORATORIOS S.A.,MUNICIPIO DE BARUERI,2024,22.06,1087.035358114234
272091,"VITAMINAS DO COMPLEXO B, COMPOSIÇÃO BÁSICA:VITAMINAS: B1,B2,B6,B12 E PP, USO:SOLUÇÃO INJETÁVEL",1366.0,1200,GOLDENPLUS - COMERCIO DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA,MUNICIPIO DE GRAVATAI,2022,1.26,1084.126984126984
442731,"SULFATO FERROSO, CONCENTRAÇÃO:50 MG",65.0,60,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA","PRATI, DONADUZZI & CIA LTDA",MUNICIPIO DE NAZARE DO PIAUI,2024,0.06,1083.3333333333335
267676,"IBUPROFENO, DOSAGEM:600 MG",190.0,30,"SAO MARCOS DISTRIBUIDORA DE MEDICAMENTOS, EQUIPAMENTOS E MATERIAIS HOSPITALARES E ODONTOLOGICOS LTDA","PRATI, DONADUZZI & CIA LTDA",FUNDO MUNICIPAL DE SAUDE DE CONCEICAO DE CANINDE,2020,0.177,1073.446327683616
271089,"AMOXICILINA, CONCENTRAÇÃO:500MG",214.51,20,JGM PRODUTOS PARA SAUDE LTDA,LABORATORIO TEUTO BRASILEIRO S/A,FUNDO MUNICIPAL DE SAUDE,2024,0.2,1072.55
606824,"TEZEPELUMABE, CONCENTRAÇÃO:110 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SERINGA PREENCHIDA",8191720.0,203,ASTRAZENECA DO BRASIL LTDA.,ASTRAZENECA DO BRASIL LTDA.,SECRETARIA DE ESTADO DE SAUDE - SES,2024,7730.715,1059.6329058825736
429724,"CARFILZOMIB, CONCENTRAÇÃO:60 MG, FORMA FARMACEUTICA:PÓ LIÓFILO P/ INJETÁVEL",4804290.0,284,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,SECRETARIA DE ESTADO DE SAUDE - SES,2023,4549.51,1056.0016353409487
269603,"BISACODIL, DOSAGEM:5 MG",156.94,9,A & C COMERCIO VAREJISTA DE MEDICAMENTOS LTDA,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,FUNDO MUNICIPAL DE SAUDE,2024,0.15,1046.2666666666667
